Pesel	kod_szczepionki	data_szczepienia	dawka
87121700110	sz16_1d	2023-12-15	1
98092900151	sz5_1d	2023-10-18	1
02212900125	sz8_2d	2023-03-05	1
91050900136	sz21_5d	2023-05-01	1
86100300169	sz21_5d	2023-12-29	4
85120200105	sz6_3d	2023-12-27	2
03240200104	sz22_3d	2023-11-21	1
58020300189	sz9_5d	2023-07-31	3
51020200145	sz8_2d	2023-05-19	1
77112000141	sz10_4d	2023-09-10	1
68122900174	sz15_5d	2023-09-19	1
80061000182	sz15_5d	2023-02-27	4
97012000153	sz11_1d	2023-12-14	1
60101900115	sz20_5d	2023-07-29	1
40122100105	sz12_3d	2023-12-10	0
76110500165	sz3_5d	2023-11-07	2
06313000191	sz9_5d	2023-02-16	2
45041400194	sz15_5d	2023-03-09	2
71122200175	sz15_5d	2023-09-20	2
01243000196	sz6_3d	2023-07-16	1
40122900194	sz15_5d	2023-09-27	4
67011000164	sz17_4d	2023-03-11	1
87070800103	sz12_3d	2023-09-29	1
87031400186	sz20_5d	2023-11-17	2
49031100152	sz23_1d	2023-06-02	1
89080600128	sz13_5d	2023-10-12	3
77010700170	sz11_1d	2023-02-13	1
69031800180	sz22_3d	2023-05-17	2
78030300133	sz19_2d	2023-04-15	1
45121300129	sz9_5d	2023-04-23	2
72120300126	sz16_1d	2023-01-01	1
77041900107	sz20_5d	2023-11-06	1
01251200155	sz3_5d	2023-03-16	1
90121800186	sz24_3d	2023-11-27	2
62120600135	sz13_5d	2023-11-26	5
44021900138	sz2_1d	2023-09-09	1
42102100145	sz7_5d	2023-07-15	1
57040800103	sz18_2d	2023-06-03	1
79121200165	sz18_2d	2023-04-16	1
61051600144	sz12_3d	2023-06-12	0
97100300127	sz17_4d	2023-03-10	1
64122600144	sz24_3d	2023-10-06	1
84052600104	sz21_5d	2023-12-12	5
70010300197	sz12_3d	2023-08-02	0
44091200198	sz10_4d	2023-03-07	2
53052500172	sz17_4d	2023-12-14	3
46072300127	sz5_1d	2023-01-19	1
92010900108	sz17_4d	2023-10-13	1
78032700122	sz10_4d	2023-01-09	2
66042000107	sz10_4d	2023-12-30	3
55092200100	sz1_3d	2023-05-30	2
45120100133	sz6_3d	2023-04-24	3
53052500172	sz17_4d	2023-03-10	2
63100200101	sz7_5d	2023-09-09	3
92102300151	sz21_5d	2023-05-19	4
95022400127	sz11_1d	2023-05-04	1
78010100113	sz15_5d	2023-06-24	1
06270900121	sz11_1d	2023-05-22	1
56041500173	sz18_2d	2023-08-19	1
78090300153	sz9_5d	2023-08-23	2
46120500152	sz20_5d	2023-02-19	1
52071500192	sz13_5d	2023-01-06	2
55082800163	sz9_5d	2023-12-04	4
86120800128	sz9_5d	2023-05-06	3
01271100150	sz19_2d	2023-07-06	1
48022600189	sz24_3d	2023-05-06	1
54110900161	sz17_4d	2023-11-10	4
82022500155	sz6_3d	2023-09-12	2
62032200188	sz13_5d	2023-12-17	3
71050900114	sz3_5d	2023-05-03	2
80100800193	sz8_2d	2023-02-15	1
77112300142	sz10_4d	2023-09-01	4
81071500147	sz6_3d	2023-05-06	2
50032200116	sz24_3d	2023-07-16	1
62101900126	sz17_4d	2023-02-08	1
00240300100	sz19_2d	2023-07-29	1
44032400195	sz10_4d	2023-07-07	1
59121700148	sz12_3d	2023-10-12	0
87092500157	sz6_3d	2023-06-17	1
56021700168	sz10_4d	2023-11-07	2
04242600138	sz16_1d	2023-08-04	1
42102100145	sz7_5d	2023-09-19	2
83032100124	sz16_1d	2023-08-12	1
73070900196	sz5_1d	2023-03-02	1
71122200175	sz15_5d	2023-01-23	1
75050300110	sz12_3d	2023-09-18	3
79102300121	sz13_5d	2023-03-09	2
69121700185	sz15_5d	2023-02-26	4
58032300102	sz3_5d	2023-01-14	1
72062200135	sz15_5d	2023-08-15	3
95062100137	sz5_1d	2023-10-21	1
78111000194	sz5_1d	2023-01-02	1
81051100178	sz10_4d	2023-08-20	1
93122600168	sz21_5d	2023-02-05	2
71010300163	sz3_5d	2023-12-20	3
01240400111	sz9_5d	2023-10-12	1
79051800112	sz11_1d	2023-12-30	1
68010800175	sz20_5d	2023-12-15	4
46020500180	sz15_5d	2023-09-03	4
66052500172	sz20_5d	2023-04-06	1
40122100105	sz12_3d	2023-08-09	1
85102800134	sz12_3d	2023-11-02	1
02282600107	sz3_5d	2023-04-09	3
72052100175	sz17_4d	2023-06-12	1
44102300181	sz5_1d	2023-08-06	1
52042800151	sz9_5d	2023-10-13	3
69061900135	sz22_3d	2023-05-10	3
76121600186	sz24_3d	2023-02-22	3
61070100111	sz3_5d	2023-11-02	1
82022500155	sz6_3d	2023-08-15	1
54090400161	sz10_4d	2023-06-17	2
00290200153	sz22_3d	2023-06-16	2
85080500147	sz10_4d	2023-10-25	1
06241000100	sz15_5d	2023-01-25	3
86120800128	sz9_5d	2023-05-10	2
06301100120	sz15_5d	2023-02-12	1
79061800144	sz15_5d	2023-10-15	1
50110400168	sz24_3d	2023-08-18	1
72111400169	sz4_2d	2023-11-18	1
69121700185	sz15_5d	2023-01-10	5
91042200158	sz6_3d	2023-10-03	2
43053000191	sz17_4d	2023-03-08	1
55100600159	sz12_3d	2023-01-01	0
97032100176	sz17_4d	2023-09-12	2
47041300108	sz18_2d	2023-11-09	1
84121200169	sz21_5d	2023-08-16	1
97032900196	sz17_4d	2023-06-02	1
03292200145	sz18_2d	2023-06-14	2
92042800164	sz23_1d	2023-03-13	1
42123000170	sz10_4d	2023-04-14	1
73071300117	sz24_3d	2023-12-21	1
75122800137	sz9_5d	2023-08-21	1
48032400117	sz8_2d	2023-12-26	2
94051700149	sz21_5d	2023-09-22	2
86091100160	sz17_4d	2023-01-25	4
43060800146	sz18_2d	2023-06-29	2
65010800136	sz12_3d	2023-03-23	3
75051500168	sz10_4d	2023-07-03	2
75013100188	sz4_2d	2023-04-27	1
79070900112	sz9_5d	2023-04-30	1
91032200188	sz15_5d	2023-03-13	1
55042300126	sz12_3d	2023-09-07	1
03242900163	sz16_1d	2023-06-20	1
40111500189	sz17_4d	2023-07-22	3
79030400151	sz17_4d	2023-09-27	2
84092000168	sz8_2d	2023-04-21	2
55021000117	sz22_3d	2023-11-29	1
79111600162	sz21_5d	2023-10-19	1
06313000191	sz9_5d	2023-06-11	4
46101500197	sz10_4d	2023-03-18	2
06313000191	sz9_5d	2023-04-21	3
53090500154	sz14_1d	2023-01-19	1
80122800186	sz2_1d	2023-02-12	1
64112700164	sz1_3d	2023-01-03	2
70010300197	sz12_3d	2023-03-07	1
66052500172	sz20_5d	2023-08-01	3
62121300126	sz15_5d	2023-08-31	2
39070200155	sz12_3d	2023-10-01	0
02212900125	sz8_2d	2023-08-18	2
04230500149	sz4_2d	2023-09-26	2
80081000108	sz24_3d	2023-02-07	2
87092500157	sz6_3d	2023-04-15	2
97110900175	sz9_5d	2023-02-19	1
77111600106	sz4_2d	2023-03-18	2
66101700168	sz9_5d	2023-12-18	1
44031900108	sz17_4d	2023-07-03	1
96101400195	sz24_3d	2023-10-02	3
97101800190	sz8_2d	2023-01-10	1
93122200139	sz8_2d	2023-11-27	1
91051700100	sz3_5d	2023-12-07	1
01260300154	sz18_2d	2023-01-14	1
40122100105	sz12_3d	2023-01-15	3
53042200156	sz22_3d	2023-09-17	2
40111600155	sz8_2d	2023-12-22	1
03210600178	sz12_3d	2023-09-04	0
06251800107	sz13_5d	2023-05-12	4
63100300108	sz2_1d	2023-12-04	1
70062600115	sz1_3d	2023-02-01	1
85111300124	sz21_5d	2023-05-13	5
75010100129	sz20_5d	2023-02-01	5
89032000167	sz21_5d	2023-05-04	2
06270700134	sz22_3d	2023-05-17	2
52042800151	sz9_5d	2023-01-24	5
97110900175	sz9_5d	2023-01-04	2
75022500188	sz5_1d	2023-06-05	1
78071000197	sz6_3d	2023-08-30	1
89121200188	sz5_1d	2023-10-25	1
03253000122	sz20_5d	2023-09-05	5
66042000107	sz10_4d	2023-08-09	2
89012900120	sz3_5d	2023-02-24	3
66031200132	sz18_2d	2023-10-16	1
93122600168	sz21_5d	2023-02-07	3
46031100137	sz13_5d	2023-06-30	1
53052200133	sz4_2d	2023-10-27	1
91050900136	sz21_5d	2023-05-07	2
85111300124	sz21_5d	2023-05-08	2
69122800129	sz4_2d	2023-05-30	1
53042200156	sz22_3d	2023-09-24	1
73062000114	sz6_3d	2023-11-23	1
44021400164	sz16_1d	2023-05-17	1
53082900180	sz10_4d	2023-04-29	1
45120200192	sz9_5d	2023-04-11	4
86110700151	sz12_3d	2023-10-26	3
90030600167	sz6_3d	2023-10-02	3
90092800196	sz6_3d	2023-06-20	1
46040500106	sz21_5d	2023-06-25	2
68080700199	sz7_5d	2023-05-18	2
91042200158	sz6_3d	2023-03-10	1
86111400180	sz20_5d	2023-01-06	1
49041500182	sz21_5d	2023-11-30	5
85102700120	sz11_1d	2023-05-07	1
72052100175	sz17_4d	2023-11-13	3
70071500141	sz17_4d	2023-10-07	1
40070600159	sz15_5d	2023-09-13	2
60111200162	sz1_3d	2023-04-30	3
41021100124	sz7_5d	2023-12-21	1
66081600166	sz4_2d	2023-02-02	1
99060200189	sz16_1d	2023-09-11	1
79101600123	sz19_2d	2023-06-04	2
94082200108	sz3_5d	2023-06-12	2
06251800107	sz13_5d	2023-05-07	2
46031100137	sz13_5d	2023-10-23	2
52082600120	sz20_5d	2023-10-15	1
57031800170	sz3_5d	2023-05-07	2
60101900115	sz20_5d	2023-07-15	4
50070500199	sz7_5d	2023-08-09	4
98062200159	sz5_1d	2023-05-05	1
56112000184	sz3_5d	2023-06-10	2
68010800175	sz20_5d	2023-08-25	2
75052300101	sz13_5d	2023-07-23	1
62120600135	sz13_5d	2023-06-23	2
64092500196	sz17_4d	2023-01-15	2
46042400183	sz11_1d	2023-06-22	1
78032700122	sz10_4d	2023-01-25	1
50070500199	sz7_5d	2023-01-06	1
86102200115	sz9_5d	2023-11-28	4
48010600142	sz20_5d	2023-09-10	3
61070100111	sz3_5d	2023-01-09	2
96041700166	sz1_3d	2023-06-27	2
93122600168	sz21_5d	2023-09-10	4
86062500164	sz1_3d	2023-05-31	1
70112200160	sz17_4d	2023-01-19	2
54090400161	sz10_4d	2023-11-28	3
91050900136	sz21_5d	2023-05-08	3
98021800141	sz9_5d	2023-03-30	2
04230500149	sz4_2d	2023-08-16	1
85032900155	sz4_2d	2023-06-27	1
50021700173	sz5_1d	2023-12-04	1
97073100100	sz15_5d	2023-06-29	1
02322700132	sz4_2d	2023-02-16	1
60062000152	sz21_5d	2023-03-04	2
47040900163	sz18_2d	2023-07-09	1
86100300169	sz21_5d	2023-01-04	5
69121100190	sz4_2d	2023-04-06	1
67111800194	sz12_3d	2023-12-24	0
88050900105	sz1_3d	2023-09-29	1
96122400127	sz6_3d	2023-07-22	2
46100200135	sz12_3d	2023-12-02	0
47031800157	sz17_4d	2023-05-26	1
86123100171	sz3_5d	2023-03-30	3
45120100133	sz6_3d	2023-07-15	2
96122400127	sz6_3d	2023-06-16	1
45031600159	sz7_5d	2023-04-20	4
79021100158	sz6_3d	2023-11-04	2
40010800133	sz15_5d	2023-03-29	4
69121700185	sz15_5d	2023-11-10	1
85010700199	sz21_5d	2023-12-23	2
90121800186	sz24_3d	2023-06-18	1
52042800151	sz9_5d	2023-06-04	4
80061200155	sz18_2d	2023-03-22	1
46101500197	sz10_4d	2023-09-03	1
81051700101	sz11_1d	2023-06-21	1
57032100149	sz3_5d	2023-05-29	5
82062000130	sz7_5d	2023-01-14	3
71021300149	sz24_3d	2023-06-13	1
82022000167	sz16_1d	2023-10-27	1
80011300119	sz1_3d	2023-07-11	1
85120200105	sz6_3d	2023-06-11	1
60081700130	sz1_3d	2023-06-08	1
71121100100	sz17_4d	2023-07-07	2
85092500139	sz20_5d	2023-08-01	1
97032100176	sz17_4d	2023-12-19	4
61121200139	sz23_1d	2023-02-16	1
52101200104	sz13_5d	2023-12-02	1
04250500110	sz18_2d	2023-09-02	2
63042000168	sz15_5d	2023-05-16	1
75050300110	sz12_3d	2023-02-17	1
81052800176	sz15_5d	2023-12-21	2
76061000161	sz10_4d	2023-04-30	2
92102300151	sz21_5d	2023-05-14	2
85112100150	sz20_5d	2023-12-03	3
59060400194	sz10_4d	2023-05-12	2
90121800186	sz24_3d	2023-11-26	3
96060500189	sz2_1d	2023-01-09	1
84071400141	sz19_2d	2023-06-22	2
47111200132	sz15_5d	2023-09-25	2
42102100145	sz7_5d	2023-06-19	3
71090600179	sz6_3d	2023-01-24	1
55120900145	sz17_4d	2023-03-21	2
67080300125	sz17_4d	2023-09-13	3
52082600120	sz20_5d	2023-07-26	3
43051600171	sz15_5d	2023-02-14	1
69111800181	sz12_3d	2023-12-23	1
86091100160	sz17_4d	2023-04-26	2
42072800117	sz12_3d	2023-08-07	1
71070900123	sz13_5d	2023-04-27	1
79112200170	sz7_5d	2023-05-10	5
46031100137	sz13_5d	2023-03-26	3
98021800141	sz9_5d	2023-12-09	1
55120900145	sz17_4d	2023-10-06	1
67021700164	sz6_3d	2023-08-23	2
46100200135	sz12_3d	2023-07-21	1
95111400137	sz22_3d	2023-12-27	2
85083100139	sz23_1d	2023-03-28	1
39102800175	sz1_3d	2023-04-27	2
55092200100	sz1_3d	2023-05-26	3
85111300124	sz21_5d	2023-05-24	4
05303000155	sz15_5d	2023-10-19	4
62110600165	sz10_4d	2023-08-23	1
67082400144	sz21_5d	2023-11-10	2
65010800136	sz12_3d	2023-07-25	1
89101900192	sz8_2d	2023-03-15	2
04250500110	sz18_2d	2023-04-09	1
72062200135	sz15_5d	2023-08-20	2
97092700167	sz13_5d	2023-10-02	2
54110900161	sz17_4d	2023-04-01	3
69051100176	sz18_2d	2023-11-29	1
75050300110	sz12_3d	2023-08-03	0
02252400162	sz9_5d	2023-08-09	4
55030100116	sz23_1d	2023-08-26	1
77011300119	sz13_5d	2023-08-09	1
40110100137	sz23_1d	2023-03-06	1
52042800151	sz9_5d	2023-03-15	1
84052600104	sz21_5d	2023-04-08	1
56090600114	sz18_2d	2023-07-09	1
84102100107	sz13_5d	2023-09-07	2
63042000168	sz15_5d	2023-05-03	5
85091300143	sz19_2d	2023-01-02	1
91051700100	sz3_5d	2023-04-08	2
85112100150	sz20_5d	2023-03-03	4
86090900174	sz13_5d	2023-03-08	3
98091600168	sz1_3d	2023-09-21	1
81052800176	sz15_5d	2023-07-07	1
92102300151	sz21_5d	2023-05-12	5
40051700115	sz16_1d	2023-09-28	1
79112200170	sz7_5d	2023-05-10	4
42092000113	sz13_5d	2023-10-17	2
89080600128	sz13_5d	2023-09-12	1
79021100158	sz6_3d	2023-03-18	1
91012200155	sz15_5d	2023-09-12	1
50032200116	sz24_3d	2023-11-21	2
76082500105	sz10_4d	2023-06-22	1
97053000125	sz22_3d	2023-12-16	1
68042200150	sz13_5d	2023-01-16	1
93052800100	sz3_5d	2023-08-12	2
49070900108	sz16_1d	2023-10-16	1
06312100106	sz1_3d	2023-09-08	1
63091500114	sz11_1d	2023-05-07	1
81102000154	sz14_1d	2023-10-03	1
90032300133	sz17_4d	2023-12-18	1
72080500178	sz22_3d	2023-09-13	1
87121700134	sz1_3d	2023-09-29	1
59081600137	sz4_2d	2023-06-10	1
82033000129	sz24_3d	2023-10-03	1
40111500189	sz17_4d	2023-04-29	1
55090200164	sz6_3d	2023-02-12	1
60070600157	sz13_5d	2023-01-20	2
65030600141	sz10_4d	2023-10-27	3
42021300194	sz3_5d	2023-06-07	1
89012900120	sz3_5d	2023-08-02	1
93102100185	sz19_2d	2023-04-27	1
82111900125	sz24_3d	2023-08-04	2
01211000188	sz7_5d	2023-06-02	4
55022600149	sz15_5d	2023-10-16	2
75010100129	sz20_5d	2023-12-16	4
05301500176	sz12_3d	2023-01-13	0
97122000133	sz16_1d	2023-09-27	1
03310600157	sz3_5d	2023-12-25	1
03282500176	sz20_5d	2023-01-23	2
85112100150	sz20_5d	2023-04-03	1
73071800143	sz1_3d	2023-06-17	1
43042700114	sz18_2d	2023-04-04	1
51101700133	sz16_1d	2023-11-19	1
67080300125	sz17_4d	2023-09-12	1
69051800144	sz13_5d	2023-06-07	2
71091400174	sz17_4d	2023-06-12	2
60101900115	sz20_5d	2023-06-12	2
59090600177	sz24_3d	2023-01-24	2
79061800144	sz15_5d	2023-09-02	4
03222400128	sz19_2d	2023-06-26	2
55072100149	sz21_5d	2023-04-01	1
94051700149	sz21_5d	2023-06-10	3
66011700173	sz20_5d	2023-08-20	1
98051500167	sz19_2d	2023-12-15	1
51032300134	sz15_5d	2023-06-11	4
85051600157	sz23_1d	2023-11-23	1
52012700175	sz14_1d	2023-03-16	1
71050900114	sz3_5d	2023-05-12	1
47031800157	sz17_4d	2023-05-21	2
46120500152	sz20_5d	2023-02-08	2
59063000131	sz23_1d	2023-09-07	1
90091100198	sz24_3d	2023-11-26	2
03222400128	sz19_2d	2023-01-07	1
58102600165	sz22_3d	2023-03-07	1
84082600152	sz17_4d	2023-01-11	4
51082000138	sz7_5d	2023-06-16	1
88110900142	sz8_2d	2023-11-21	2
39090100150	sz11_1d	2023-03-02	1
57110900100	sz3_5d	2023-10-31	1
92031800140	sz17_4d	2023-01-29	1
58020300189	sz9_5d	2023-03-16	1
57032100149	sz3_5d	2023-05-28	2
53102800119	sz22_3d	2023-01-09	2
86102200115	sz9_5d	2023-08-09	1
41041600121	sz12_3d	2023-09-19	0
56090600114	sz18_2d	2023-04-01	2
71070900123	sz13_5d	2023-03-22	3
75061000164	sz20_5d	2023-11-30	2
02252400162	sz9_5d	2023-01-14	1
05313000101	sz24_3d	2023-05-24	3
69010100135	sz1_3d	2023-10-20	1
01310900185	sz18_2d	2023-10-23	1
97061500147	sz24_3d	2023-10-14	2
95091000196	sz8_2d	2023-12-23	2
99110600116	sz3_5d	2023-07-29	2
71090600179	sz6_3d	2023-02-19	2
51081200171	sz22_3d	2023-04-05	1
52073000195	sz6_3d	2023-10-17	2
55022600149	sz15_5d	2023-01-09	1
69051800144	sz13_5d	2023-03-01	1
60012400131	sz1_3d	2023-07-31	2
41022300141	sz4_2d	2023-12-05	2
80011100122	sz21_5d	2023-12-04	3
94082200108	sz3_5d	2023-02-28	4
60030600139	sz16_1d	2023-09-28	1
45031600159	sz7_5d	2023-12-02	2
47052600109	sz20_5d	2023-05-12	4
59042500197	sz24_3d	2023-12-20	1
86100300169	sz21_5d	2023-07-06	2
69051700130	sz10_4d	2023-06-19	1
05313000101	sz24_3d	2023-05-19	1
62121300126	sz15_5d	2023-10-09	3
71052000195	sz19_2d	2023-05-11	1
43102000190	sz22_3d	2023-06-25	1
02282600107	sz3_5d	2023-09-03	2
91072000157	sz7_5d	2023-05-02	3
77092500103	sz17_4d	2023-12-27	1
70080100138	sz14_1d	2023-02-27	1
47052600109	sz20_5d	2023-05-15	5
04320300123	sz2_1d	2023-11-28	1
40070600159	sz15_5d	2023-10-17	1
75061000164	sz20_5d	2023-04-11	1
97092700167	sz13_5d	2023-07-19	1
84092000168	sz8_2d	2023-09-04	1
03270200145	sz14_1d	2023-03-23	1
77041900107	sz20_5d	2023-02-23	2
69121700185	sz15_5d	2023-04-29	3
56021700168	sz10_4d	2023-03-17	1
48010600142	sz20_5d	2023-04-26	5
94042800199	sz12_3d	2023-09-27	0
77061500149	sz19_2d	2023-10-04	2
93083100134	sz16_1d	2023-07-29	1
74011100107	sz5_1d	2023-03-04	1
91072000157	sz7_5d	2023-05-08	1
83031300105	sz1_3d	2023-03-07	3
90060700143	sz21_5d	2023-06-16	1
89032000167	sz21_5d	2023-05-09	4
62072000140	sz22_3d	2023-02-23	1
75051500168	sz10_4d	2023-12-11	1
80021800191	sz1_3d	2023-08-11	1
49030900142	sz7_5d	2023-05-12	3
62101900126	sz17_4d	2023-12-21	2
50070600141	sz6_3d	2023-01-17	3
81010200127	sz11_1d	2023-02-20	1
53082400192	sz23_1d	2023-10-09	1
66081000140	sz1_3d	2023-08-14	1
55120900145	sz17_4d	2023-08-20	3
79081900198	sz19_2d	2023-01-11	1
02252400162	sz9_5d	2023-07-25	3
67052300151	sz19_2d	2023-05-13	1
57032100149	sz3_5d	2023-05-26	4
52082600120	sz20_5d	2023-08-12	2
86062500164	sz1_3d	2023-05-19	3
80012600157	sz8_2d	2023-01-04	1
45120100133	sz6_3d	2023-12-07	1
98090200130	sz6_3d	2023-11-01	3
60090300127	sz20_5d	2023-04-22	2
40010800133	sz15_5d	2023-12-16	3
03292200145	sz18_2d	2023-01-14	1
97032500167	sz15_5d	2023-12-06	3
05303000155	sz15_5d	2023-01-20	5
80031000141	sz20_5d	2023-11-05	1
06270700134	sz22_3d	2023-05-09	1
63041300184	sz1_3d	2023-10-04	2
